DateTime,PM10,PM2_5,O3,NO2,CO,SO2
2020-07-02:05,25,13,0.004,0.007,0.4,0.001
2020-07-02:04,24,11,0.005,0.007,0.4,0.001
2020-07-02:03,23,14,0.002,0.007,0.4,0.001
2020-07-02:02,27,11,0.003,0.008,0.4,0.001
2020-07-02:01,13,10,0.002,0.009,0.4,0.001
2020-07-01:24,25,12,0.004,0.011,0.4,0.001
2020-07-01:23,30,12,0.007,0.012,0.4,0.001
2020-07-01:22,22,7,0.015,0.011,0.4,0.001
2020-07-01:21,28,9,0.024,0.009,0.4,0.001
2020-07-01:20,29,10,0.034,0.009,0.4,0.001
2020-07-01:19,24,11,0.038,0.007,0.3,0.001
2020-07-01:18,20,9,0.041,0.005,0.3,0.001
2020-07-01:17,12,7,0.040,0.005,0.3,0.001
2020-07-01:16,10,6,0.041,0.005,0.3,0.001
2020-07-01:15,14,7,0.039,0.004,0.3,0.001
2020-07-01:14,5,5,0.036,0.004,0.3,0.001
2020-07-01:13,14,5,0.025,0.006,0.3,0.001
2020-07-01:12,20,6,0.018,0.009,0.3,0.001
2020-07-01:11,21,6,0.017,0.008,0.3,0.001
2020-07-01:10,6,4,0.016,0.008,0.3,0.001
2020-07-01:09,6,5,0.013,0.010,0.3,0.001
2020-07-01:08,14,4,0.010,0.010,0.3,0.001
2020-07-01:07,11,4,0.009,0.009,0.3,0.001
2020-07-01:06,16,7,0.013,0.006,0.3,0.001
2020-07-01:05,13,7,0.014,0.005,0.3,0.001
2020-07-01:04,12,10,0.016,0.004,0.3,0.002
2020-07-01:03,10,10,0.020,0.004,0.3,0.001
2020-07-01:02,9,,0.021,0.004,0.3,0.001
2020-07-01:01,7,7,0.020,0.006,0.3,0.001
2020-06-30:24,4,2,0.020,0.006,0.3,0.001
2020-06-30:23,8,1,0.026,0.006,0.3,0.001
2020-06-30:22,5,1,0.026,0.007,0.3,0.001
2020-06-30:21,8,1,0.027,0.008,0.3,0.001
2020-06-30:20,10,2,0.036,0.007,0.3,0.001
2020-06-30:19,9,4,0.043,0.005,0.3,0.001
2020-06-30:18,7,4,0.041,0.004,0.2,0.001
2020-06-30:17,10,2,0.038,0.004,0.2,0.001
2020-06-30:16,4,2,0.036,0.004,0.3,0.001
2020-06-30:15,5,2,0.041,0.004,0.3,0.001
2020-06-30:14,4,1,0.040,0.004,0.3,0.001
2020-06-30:13,8,3,0.042,0.003,0.3,0.001
2020-06-30:12,6,1,0.042,0.003,0.3,0.001
2020-06-30:11,3,1,0.044,0.003,0.3,0.001
2020-06-30:10,2,1,0.051,0.003,0.3,0.001
2020-06-30:09,2,1,0.047,0.004,0.3,0.001
2020-06-30:08,6,1,0.046,0.004,0.3,0.001
2020-06-30:07,18,2,0.053,0.003,0.3,0.001
2020-06-30:06,4,4,0.061,0.002,0.3,0.001
2020-06-30:05,8,7,0.068,0.002,0.3,0.001
2020-06-30:04,4,3,0.065,0.001,0.3,0.001
2020-06-30:03,13,1,0.055,0.002,0.3,0.001
2020-06-30:02,14,3,0.055,0.002,0.3,0.001
2020-06-30:01,26,8,0.053,0.002,0.3,0.001
2020-06-29:24,23,13,0.049,0.003,0.4,0.001
2020-06-29:23,20,18,0.049,0.004,0.4,0.001
2020-06-29:22,19,,0.049,0.004,0.4,0.001
2020-06-29:21,28,27,0.044,0.005,0.4,0.001
2020-06-29:20,36,22,0.037,0.006,0.5,0.001
2020-06-29:19,48,22,0.019,0.018,0.5,0.001
2020-06-29:18,44,23,0.026,0.015,0.5,0.001
2020-06-29:17,53,23,0.034,0.015,0.5,0.001
2020-06-29:16,44,22,0.038,0.013,0.5,0.001
2020-06-29:15,38,20,0.041,0.010,0.4,0.001
2020-06-29:14,49,24,0.047,0.008,0.4,0.001
2020-06-29:13,43,24,0.051,0.008,0.4,0.002
2020-06-29:12,39,23,0.032,0.014,0.5,0.002
2020-06-29:11,38,21,0.024,0.014,0.4,0.002
2020-06-29:10,27,18,0.021,0.010,0.4,0.001
2020-06-29:09,25,17,0.016,0.008,0.4,0.002
2020-06-29:08,20,16,0.014,0.006,0.4,0.001
2020-06-29:07,24,18,0.007,0.006,0.4,0.001
2020-06-29:06,36,21,0.002,0.009,0.4,0.001
2020-06-29:05,33,22,0.003,0.009,0.4,0.001
2020-06-29:04,30,22,0.005,0.008,0.4,0.001
2020-06-29:03,40,25,0.007,0.009,0.4,0.001
2020-06-29:02,37,22,0.009,0.010,0.4,0.001
2020-06-29:01,34,21,0.011,0.011,0.4,0.001
2020-06-28:24,40,21,0.016,0.013,0.4,0.001
2020-06-28:23,42,16,0.019,0.014,0.4,0.001
2020-06-28:22,35,14,0.025,0.012,0.4,0.001
2020-06-28:21,28,14,0.032,0.009,0.4,0.001
2020-06-28:20,42,17,0.040,0.005,0.4,0.001
2020-06-28:19,34,17,0.051,0.005,0.3,0.002
2020-06-28:18,34,14,0.053,0.005,0.3,0.001
2020-06-28:17,24,12,0.051,0.004,0.3,0.001
2020-06-28:16,20,14,0.049,0.004,0.3,0.002
2020-06-28:15,15,,0.049,0.003,0.3,0.002
2020-06-28:14,28,22,0.055,0.004,0.3,0.002
2020-06-28:13,21,18,0.057,0.005,0.4,0.002
2020-06-28:12,22,15,0.055,0.006,0.4,0.002
2020-06-28:11,17,13,0.044,0.006,0.4,0.001
2020-06-28:10,18,11,0.037,0.006,0.4,0.001
2020-06-28:09,23,11,0.035,0.006,0.4,0.001
2020-06-28:08,19,11,0.037,0.005,0.4,0.001
2020-06-28:07,18,12,0.037,0.004,0.4,0.001
2020-06-28:06,19,13,0.041,0.003,0.4,0.002
2020-06-28:05,28,10,0.032,0.004,0.4,0.001
2020-06-28:04,22,12,0.029,0.004,0.4,0.001
2020-06-28:03,27,14,0.037,0.004,0.4,0.001
2020-06-28:02,28,15,0.025,0.006,0.4,0.001
2020-06-28:01,17,10,0.031,0.006,0.4,0.001
2020-06-27:24,24,6,0.040,0.008,0.4,0.001
2020-06-27:23,20,12,0.050,0.009,0.4,0.001
2020-06-27:22,36,22,0.067,0.006,0.4,0.001
2020-06-27:21,47,26,0.077,0.007,0.4,0.002
2020-06-27:20,57,26,0.085,0.011,0.5,0.002
2020-06-27:19,50,25,0.096,0.011,0.5,0.002
2020-06-27:18,32,20,0.103,0.011,0.5,0.002
2020-06-27:17,37,17,0.086,0.008,0.4,0.002
2020-06-27:16,29,16,0.073,0.006,0.4,0.002
2020-06-27:15,24,14,0.065,0.005,0.4,0.001
2020-06-27:14,24,15,0.058,0.005,0.4,0.002
2020-06-27:13,20,15,0.056,0.005,0.4,0.002
2020-06-27:12,32,17,0.057,0.006,0.4,0.002
2020-06-27:11,8,,0.055,0.005,0.4,0.002
2020-06-27:10,25,17,0.043,0.009,0.5,0.002
2020-06-27:09,28,20,0.038,0.009,0.5,0.002
2020-06-27:08,31,20,0.033,0.012,0.4,0.002
2020-06-27:07,30,19,0.037,0.008,0.4,0.002
2020-06-27:06,29,20,0.041,0.007,0.4,0.002
2020-06-27:05,29,23,0.051,0.005,0.4,0.002
2020-06-27:04,31,24,0.052,0.005,0.4,0.002
2020-06-27:03,35,21,0.055,0.005,0.4,0.002
2020-06-27:02,35,16,0.056,0.005,0.4,0.002
2020-06-27:01,34,17,0.058,0.006,0.4,0.002
2020-06-26:24,32,20,0.057,0.007,0.4,0.002
2020-06-26:23,23,20,0.055,0.009,0.4,0.002
2020-06-26:22,34,22,0.050,0.014,0.4,0.002
2020-06-26:21,37,23,0.056,0.015,0.5,0.002
2020-06-26:20,42,19,0.063,0.016,0.5,0.002
2020-06-26:19,33,23,0.068,0.013,0.4,0.002
2020-06-26:18,28,24,0.071,0.011,0.4,0.002
2020-06-26:17,32,26,0.071,0.010,0.4,0.002
2020-06-26:16,36,27,0.069,0.010,0.4,0.002
2020-06-26:15,33,26,0.063,0.010,0.4,0.002
2020-06-26:14,19,,0.058,0.009,0.4,0.002
2020-06-26:13,42,22,0.048,0.010,0.4,0.002
2020-06-26:12,28,15,0.041,0.011,0.4,0.002
2020-06-26:11,23,9,0.035,0.011,0.4,0.002
2020-06-26:10,15,3,0.032,0.009,0.4,0.001
2020-06-26:09,9,2,0.026,0.011,0.4,0.001
2020-06-26:08,4,2,0.030,0.006,0.3,0.001
2020-06-26:07,3,3,0.033,0.005,0.3,0.001
2020-06-26:06,4,2,0.033,0.003,0.3,0.001
2020-06-26:05,8,4,0.029,0.004,0.3,0.002
2020-06-26:04,6,,0.031,0.004,0.3,0.001
2020-06-26:03,8,,0.031,0.004,0.3,0.001
2020-06-26:02,18,14,0.029,0.005,0.4,0.001
2020-06-26:01,29,16,0.025,0.006,0.4,0.001
2020-06-25:24,20,12,0.022,0.008,0.4,0.001
2020-06-25:23,27,11,0.023,0.009,0.4,0.001
2020-06-25:22,20,14,0.023,0.010,0.4,0.001
2020-06-25:21,27,10,0.028,0.009,0.4,0.002
2020-06-25:20,21,11,0.024,0.013,0.4,0.001
2020-06-25:19,26,12,0.029,0.013,0.4,0.002
2020-06-25:18,23,9,0.031,0.012,0.4,0.002
2020-06-25:17,9,5,0.027,0.013,0.4,0.002
2020-06-25:16,12,3,0.027,0.009,0.4,0.002
2020-06-25:15,18,6,0.026,0.010,0.4,0.002
2020-06-25:14,21,7,0.025,0.009,0.4,0.001
2020-06-25:13,3,2,0.027,0.007,0.4,0.002
2020-06-25:12,3,1,0.024,0.006,0.3,0.001
2020-06-25:11,4,2,0.023,0.007,0.3,0.001
2020-06-25:10,8,1,0.020,0.010,0.4,0.001
2020-06-25:09,5,1,0.020,0.008,0.3,0.001
2020-06-25:08,3,1,0.023,0.006,0.3,0.001
2020-06-25:07,4,1,0.025,0.004,0.3,0.001
2020-06-25:06,6,1,0.026,0.004,0.3,0.001
2020-06-25:05,6,2,0.030,0.003,0.3,0.001
2020-06-25:04,4,1,0.032,0.003,0.3,0.001
2020-06-25:03,4,1,0.032,0.003,0.3,0.001
2020-06-25:02,7,1,0.032,0.004,0.3,0.001
2020-06-25:01,5,1,0.033,0.004,0.3,0.001
2020-06-24:24,6,2,0.033,0.005,0.3,0.001
2020-06-24:23,8,4,0.034,0.006,0.3,0.001
2020-06-24:22,8,4,0.035,0.006,0.3,0.001
2020-06-24:21,6,5,0.037,0.007,0.3,0.001
2020-06-24:20,13,8,0.038,0.009,0.3,0.001
2020-06-24:19,14,7,0.035,0.011,0.4,0.001
2020-06-24:18,13,8,0.036,0.009,0.3,0.001
2020-06-24:17,15,7,0.033,0.010,0.3,0.001
2020-06-24:16,16,7,0.034,0.009,0.3,0.001
2020-06-24:15,16,12,0.034,0.008,0.4,0.001
2020-06-24:14,25,16,0.035,0.008,0.3,0.001
2020-06-24:13,27,10,0.035,0.009,0.3,0.002
2020-06-24:12,,,,,,
2020-06-24:11,18,11,0.040,0.005,0.4,0.002
2020-06-24:10,20,14,0.037,0.009,0.4,0.002
2020-06-24:09,10,,0.037,0.006,0.4,0.002
2020-06-24:08,17,,0.035,0.006,0.4,0.001
2020-06-24:07,33,,0.037,0.006,0.4,0.002
2020-06-24:06,43,43,0.038,0.011,0.5,0.002
2020-06-24:05,64,46,0.039,0.016,0.5,0.002
2020-06-24:04,64,46,0.045,0.015,0.5,0.002
2020-06-24:03,63,47,0.049,0.017,0.5,0.002
2020-06-24:02,68,47,0.051,0.018,0.5,0.002
2020-06-24:01,68,48,0.054,0.020,0.6,0.002
2020-06-23:24,66,40,0.061,0.021,0.6,0.002
2020-06-23:23,60,35,0.064,0.025,0.6,0.002
2020-06-23:22,71,32,0.078,0.022,0.6,0.002
2020-06-23:21,64,32,0.085,0.020,0.6,0.002
2020-06-23:20,56,31,0.108,0.015,0.5,0.002
2020-06-23:19,55,28,0.098,0.018,0.5,0.002
2020-06-23:18,56,28,0.099,0.014,0.5,0.002
2020-06-23:17,53,28,0.100,0.012,0.5,0.002
2020-06-23:16,54,28,0.097,0.009,0.4,0.002
2020-06-23:15,50,31,0.101,0.011,0.4,0.002
2020-06-23:14,51,31,0.106,0.010,0.4,0.002
2020-06-23:13,48,26,0.105,0.010,0.4,0.002
2020-06-23:12,41,24,0.095,0.011,0.5,0.002
2020-06-23:11,44,21,0.077,0.012,0.5,0.002
2020-06-23:10,28,20,0.056,0.016,0.5,0.002
2020-06-23:09,30,17,0.044,0.013,0.4,0.001
2020-06-23:08,18,18,0.033,0.011,0.4,0.001
2020-06-23:07,25,20,0.025,0.015,0.4,0.001
2020-06-23:06,31,23,0.024,0.013,0.4,0.001
2020-06-23:05,27,26,0.028,0.011,0.4,0.001
2020-06-23:04,34,28,0.028,0.012,0.4,0.001
2020-06-23:03,37,31,0.031,0.013,0.4,0.001
2020-06-23:02,38,33,0.037,0.013,0.4,0.002
2020-06-23:01,34,33,0.041,0.014,0.4,0.002
2020-06-22:24,52,33,0.050,0.017,0.4,0.001
2020-06-22:23,60,32,0.056,0.019,0.5,0.002
2020-06-22:22,54,31,0.059,0.022,0.5,0.001
2020-06-22:21,54,29,0.074,0.018,0.4,0.002
2020-06-22:20,45,26,0.096,0.017,0.4,0.002
2020-06-22:19,35,20,0.095,0.016,0.4,0.002
2020-06-22:18,24,12,0.078,0.009,0.3,0.002
2020-06-22:17,33,11,0.072,0.008,0.3,0.002
2020-06-22:16,25,7,0.070,0.008,0.3,0.001
2020-06-22:15,16,5,0.076,0.006,0.3,0.001
2020-06-22:14,13,9,0.071,0.005,0.3,0.002
2020-06-22:13,22,19,0.071,0.006,0.3,0.001
2020-06-22:12,41,23,0.074,0.009,0.4,0.002
2020-06-22:11,36,22,0.065,0.010,0.4,0.002
2020-06-22:10,32,22,0.048,0.012,0.4,0.002
2020-06-22:09,24,20,0.035,0.012,0.4,0.001
2020-06-22:08,14,,0.030,0.009,0.4,0.001
2020-06-22:07,28,23,0.019,0.011,0.4,0.002
2020-06-22:06,26,23,0.015,0.012,0.4,0.002
2020-06-22:05,30,25,0.019,0.009,0.4,0.001
2020-06-22:04,31,28,0.020,0.009,0.4,0.001
2020-06-22:03,34,28,0.020,0.011,0.4,0.001
2020-06-22:02,37,27,0.024,0.012,0.4,0.002
2020-06-22:01,32,26,0.026,0.013,0.4,0.001
2020-06-21:24,42,26,0.024,0.015,0.4,0.002
2020-06-21:23,44,26,0.026,0.017,0.4,0.002
2020-06-21:22,48,23,0.035,0.017,0.4,0.002
2020-06-21:21,42,28,0.050,0.011,0.4,0.002
2020-06-21:20,39,27,0.064,0.006,0.4,0.001
2020-06-21:19,40,23,0.073,0.007,0.4,0.002
2020-06-21:18,39,20,0.074,0.007,0.3,0.001
2020-06-21:17,28,15,0.073,0.005,0.3,0.001
2020-06-21:16,31,19,0.072,0.005,0.3,0.002
2020-06-21:15,39,20,0.083,0.006,0.4,0.002
2020-06-21:14,32,24,0.085,0.006,0.4,0.002
2020-06-21:13,34,33,0.082,0.005,0.4,0.002
2020-06-21:12,37,33,0.081,0.005,0.4,0.002
2020-06-21:11,47,33,0.077,0.008,0.5,0.002
2020-06-21:10,41,33,0.062,0.009,0.5,0.002
2020-06-21:09,36,33,0.050,0.009,0.5,0.002
2020-06-21:08,31,,0.043,0.008,0.5,0.002
2020-06-21:07,37,37,0.026,0.010,0.5,0.002
2020-06-21:06,41,38,0.024,0.009,0.5,0.002
2020-06-21:05,48,37,0.028,0.009,0.5,0.002
2020-06-21:04,43,38,0.032,0.009,0.5,0.002
2020-06-21:03,54,40,0.038,0.010,0.5,0.002
2020-06-21:02,54,38,0.052,0.009,0.5,0.002
2020-06-21:01,58,41,0.056,0.011,0.5,0.002
2020-06-20:24,62,41,0.056,0.014,0.6,0.002
2020-06-20:23,61,43,0.069,0.015,0.6,0.002
2020-06-20:22,66,44,0.088,0.013,0.6,0.002
2020-06-20:21,74,43,0.104,0.013,0.6,0.003
2020-06-20:20,72,40,0.118,0.011,0.6,0.003
2020-06-20:19,81,32,0.122,0.010,0.7,0.003
2020-06-20:18,59,24,0.129,0.011,0.6,0.003
2020-06-20:17,41,19,0.105,0.009,0.4,0.002
2020-06-20:16,33,19,0.076,0.006,0.4,0.002
2020-06-20:15,28,15,0.067,0.005,0.3,0.002
2020-06-20:14,30,13,0.069,0.006,0.4,0.002
2020-06-20:13,27,13,0.069,0.007,0.4,0.002
2020-06-20:12,19,12,0.059,0.007,0.4,0.002
2020-06-20:11,23,10,0.043,0.009,0.4,0.002
2020-06-20:10,7,6,0.028,0.009,0.4,0.002
2020-06-20:09,11,9,0.018,0.009,0.3,0.002
2020-06-20:08,4,,0.014,0.008,0.3,0.001
2020-06-20:07,16,10,0.010,0.009,0.3,0.001
2020-06-20:06,13,11,0.006,0.009,0.3,0.001
2020-06-20:05,11,,0.007,0.009,0.3,0.001
2020-06-20:04,17,14,0.009,0.009,0.3,0.002
2020-06-20:03,18,13,0.011,0.010,0.3,0.002
2020-06-20:02,15,14,0.011,0.012,0.4,0.002
2020-06-20:01,20,13,0.013,0.014,0.4,0.002
2020-06-19:24,26,11,0.014,0.016,0.4,0.001
2020-06-19:23,23,7,0.016,0.017,0.4,0.002
2020-06-19:22,11,9,0.026,0.013,0.3,0.002
2020-06-19:21,19,9,0.037,0.007,0.3,0.002
2020-06-19:20,13,10,0.040,0.005,0.3,0.002
2020-06-19:19,17,8,0.040,0.005,0.3,0.001
2020-06-19:18,14,6,0.040,0.005,0.3,0.002
2020-06-19:17,14,7,0.041,0.004,0.3,0.001
2020-06-19:16,18,7,0.041,0.004,0.3,0.001
2020-06-19:15,8,6,0.043,0.004,0.3,0.001
2020-06-19:14,9,6,0.044,0.004,0.3,0.001
2020-06-19:13,9,6,0.044,0.003,0.3,0.001
2020-06-19:12,4,,0.041,0.004,0.3,0.001
2020-06-19:11,7,,0.035,0.004,0.3,0.002
2020-06-19:10,4,,0.035,0.005,0.3,0.002
2020-06-19:09,12,7,0.022,0.012,0.4,0.001
2020-06-19:08,18,8,0.017,0.012,0.4,0.001
2020-06-19:07,21,9,0.026,0.009,0.3,0.002
2020-06-19:06,13,10,0.034,0.006,0.3,0.002
2020-06-19:05,11,10,0.036,0.005,0.3,0.002
2020-06-19:04,12,12,0.040,0.005,0.3,0.002
2020-06-19:03,19,11,0.044,0.004,0.3,0.002
2020-06-19:02,18,14,0.046,0.004,0.3,0.002
2020-06-19:01,12,,0.051,0.003,0.3,0.002
2020-06-18:24,27,,0.052,0.004,0.3,0.002
2020-06-18:23,42,32,0.056,0.005,0.4,0.002
2020-06-18:22,50,29,0.046,0.011,0.5,0.002
2020-06-18:21,45,26,0.050,0.012,0.5,0.002
2020-06-18:20,45,27,0.059,0.011,0.5,0.002
2020-06-18:19,51,30,0.058,0.013,0.5,0.002
2020-06-18:18,53,29,0.064,0.011,0.5,0.002
2020-06-18:17,48,27,0.070,0.011,0.5,0.002
2020-06-18:16,57,28,0.073,0.011,0.5,0.002
2020-06-18:15,56,29,0.081,0.012,0.5,0.002
2020-06-18:14,54,29,0.081,0.014,0.5,0.002
2020-06-18:13,58,31,0.071,0.016,0.5,0.002
2020-06-18:12,42,31,0.065,0.018,0.5,0.002
2020-06-18:11,46,31,0.050,0.020,0.5,0.002
2020-06-18:10,45,30,0.041,0.020,0.5,0.002
2020-06-18:09,38,28,0.032,0.020,0.5,0.002
2020-06-18:08,40,30,0.025,0.020,0.5,0.002
2020-06-18:07,34,30,0.025,0.017,0.5,0.002
2020-06-18:06,37,31,0.028,0.014,0.5,0.002
2020-06-18:05,35,33,0.027,0.015,0.5,0.002
2020-06-18:04,39,33,0.032,0.014,0.5,0.002
2020-06-18:03,41,35,0.039,0.013,0.5,0.002
2020-06-18:02,44,36,0.043,0.015,0.5,0.003
2020-06-18:01,51,38,0.050,0.016,0.5,0.003
2020-06-17:24,48,39,0.069,0.015,0.5,0.004
2020-06-17:23,57,41,0.084,0.016,0.6,0.004
2020-06-17:22,76,37,0.103,0.017,0.6,0.004
2020-06-17:21,70,30,0.103,0.017,0.6,0.003
2020-06-17:20,57,27,0.084,0.013,0.4,0.002
2020-06-17:19,38,29,0.077,0.014,0.4,0.002
2020-06-17:18,46,26,0.076,0.009,0.4,0.001
2020-06-17:17,45,25,0.072,0.008,0.4,0.002
2020-06-17:16,42,25,0.070,0.007,0.4,0.002
2020-06-17:15,38,30,0.071,0.007,0.4,0.002
2020-06-17:14,50,34,0.073,0.007,0.4,0.002
2020-06-17:13,46,35,0.074,0.006,0.4,0.002
2020-06-17:12,53,36,0.076,0.006,0.4,0.002
2020-06-17:11,57,36,0.077,0.007,0.5,0.003
2020-06-17:10,51,36,0.059,0.014,0.5,0.002
2020-06-17:09,36,,0.045,0.015,0.5,0.002
2020-06-17:08,46,41,0.029,0.016,0.5,0.002
2020-06-17:07,55,41,0.026,0.015,0.5,0.001
2020-06-17:06,46,41,0.019,0.014,0.5,0.001
2020-06-17:05,57,39,0.028,0.011,0.5,0.002
2020-06-17:04,58,39,0.032,0.013,0.5,0.001
2020-06-17:03,56,33,0.036,0.014,0.5,0.001
2020-06-17:02,57,31,0.042,0.016,0.5,0.002
2020-06-17:01,48,29,0.052,0.015,0.5,0.002
,,,,,,
,,,,,,
,,,,,,
